dealID,proposedTickerSymbol_x,companyName_x,proposedExchange,proposedSharePrice,sharesOffered,pricedDate,dollarValueOfSharesOffered_x,dealStatus,proposedTickerSymbol_y,companyName_y,filedDate,dollarValueOfSharesOffered_y
1146440-96048,,,,,,,,,,NYDIG Bitcoin ETF,2/16/2021,"$1,000,000"
1146446-96049,JOAN,JOANN Inc.,NASDAQ Global,12.00,"10,937,500",3/12/2021,"$131,250,000",Priced,JOAN,JOANN Inc.,2/16/2021,"$131,250,000"
1146548-97416,DAWN,"Day One Biopharmaceuticals, Inc.",NASDAQ Global Select,16.00,"10,000,000",5/27/2021,"$160,000,000",Priced,DAWN,"Day One Biopharmaceuticals, Inc.",5/04/2021,"$160,000,000"
1146560-96053,MBACU,M3-Brigade Acquisition II Corp.,NYSE,10.00,"40,000,000",3/04/2021,"$400,000,000",Priced,MBACU,M3-Brigade Acquisition II Corp.,2/16/2021,"$400,000,000"
1146588-96054,CRCT,"Cricut, Inc.",NASDAQ Global Select,20.00,"15,314,903",3/25/2021,"$306,298,060",Priced,CRCT,"Cricut, Inc.",2/16/2021,"$306,298,060"
1146699-96065,SVIIU,Spring Valley Acquisition Corp. II,NASDAQ Global,10.00,"20,000,000",10/13/2022,"$200,000,000",Priced,SVIIU,Spring Valley Acquisition Corp. II,2/16/2021,"$200,000,000"
1146700-96066,,,,,,,,,,Just Another Acquisition Corp.,2/16/2021,"$69,000,000"
1146726-96068,SLVRU,SilverSPAC Inc.,NASDAQ Capital,10.00,"25,000,000",9/10/2021,"$250,000,000",Priced,SLVRU,SilverSPAC Inc.,2/16/2021,"$250,000,000"
1146735-96071,ADF'U,"Hagerty, Inc.",NYSE,10.00,"10,000,000",4/09/2021,"$100,000,000",Priced,ADF'U,"Hagerty, Inc.",2/16/2021,"$100,000,000"
1146741-96074,VAQC,Vector Acquisition Corp II,NASDAQ Capital,10.00,"45,000,000",3/10/2021,"$450,000,000",Priced,VAQC,Vector Acquisition Corp II,2/16/2021,"$450,000,000"
1146743-96075,MAQCU,Maquia Capital Acquisition Corp,NASDAQ Capital,10.00,"16,000,000",5/05/2021,"$160,000,000",Priced,MAQCU,Maquia Capital Acquisition Corp,2/16/2021,"$160,000,000"
1146747-96082,SCAQU,Stratim Cloud Acquisition Corp.,NASDAQ Capital,10.00,"25,000,000",3/12/2021,"$250,000,000",Priced,SCAQU,Stratim Cloud Acquisition Corp.,2/17/2021,"$250,000,000"
1146812-96085,IPVAU,"Getaround, Inc",NYSE,10.00,"22,500,000",3/05/2021,"$225,000,000",Priced,IPVAU,"Getaround, Inc",2/17/2021,"$225,000,000"
1146814-96086,HAYW,"Hayward Holdings, Inc.",NYSE,17.00,"40,277,778",3/12/2021,"$684,722,226",Priced,HAYW,"Hayward Holdings, Inc.",2/17/2021,"$684,722,226"
1146815-96087,IPVFU,InterPrivate III Financial Partners Inc.,NYSE,10.00,"22,500,000",3/05/2021,"$225,000,000",Priced,IPVFU,InterPrivate III Financial Partners Inc.,2/17/2021,"$225,000,000"
1146816-96088,IPVIU,InterPrivate IV InfraTech Partners Inc.,NASDAQ Capital,10.00,"25,000,000",3/05/2021,"$250,000,000",Priced,IPVIU,InterPrivate IV InfraTech Partners Inc.,2/17/2021,"$250,000,000"
1146828-96090,,,,,,,,,,FG New America Acquisition II Corp,2/17/2021,"$258,750,000"
1146854-96094,SBIIU,Sandbridge X2 Corp,NYSE,10.00,"22,000,000",3/10/2021,"$220,000,000",Priced,SBIIU,Sandbridge X2 Corp,2/17/2021,"$220,000,000"
1146890-96095,GGMCU,Glenfarne Merger Corp.,NASDAQ Capital,10.00,"25,000,000",3/19/2021,"$250,000,000",Priced,GGMCU,Glenfarne Merger Corp.,2/17/2021,"$250,000,000"
1146941-96099,DMYQU,Planet Labs PBC,NYSE,10.00,"30,000,000",3/05/2021,"$300,000,000",Priced,DMYQU,Planet Labs PBC,2/17/2021,"$300,000,000"
1146942-96100,WPCAU,Warburg Pincus Capital Corp I-A,NYSE,10.00,"25,000,000",3/05/2021,"$250,000,000",Priced,WPCAU,Warburg Pincus Capital Corp I-A,2/17/2021,"$250,000,000"
1146947-96101,WPCAU,Warburg Pincus Capital Corp I-B,NYSE,10.00,"50,000,000",3/05/2021,"$500,000,000",Priced,WPCAU,Warburg Pincus Capital Corp I-B,2/17/2021,"$500,000,000"
1146952-96102,SHQAU,Shelter Acquisition Corp I,NASDAQ Capital,10.00,"20,000,000",6/30/2021,"$200,000,000",Priced,SHQAU,Shelter Acquisition Corp I,2/17/2021,"$200,000,000"
1146964-96104,FMIVU,Forum Merger IV Corp,NASDAQ Capital,10.00,"30,000,000",3/18/2021,"$300,000,000",Priced,FMIVU,Forum Merger IV Corp,2/17/2021,"$300,000,000"
1146970-96106,EBACU,European Biotech Acquisition Corp.,NASDAQ Capital,10.00,"12,000,000",3/16/2021,"$120,000,000",Priced,EBACU,European Biotech Acquisition Corp.,2/17/2021,"$120,000,000"
1146971-96107,APTMU,Plum Acquisition Corp. III,NASDAQ Capital,10.00,"25,000,000",7/28/2021,"$250,000,000",Priced,APTMU,Plum Acquisition Corp. III,2/17/2021,"$250,000,000"
1146974-96108,TWNTU,TERRAN ORBITAL Corp,NYSE,10.00,"30,000,000",3/05/2021,"$300,000,000",Priced,TWNTU,TERRAN ORBITAL Corp,2/17/2021,"$300,000,000"
1146976-96109,,,,,,,,,,Advancit Acquisition Corp. I,2/17/2021,"$316,250,000"
1146998-96113,NGC'U,Northern Genesis Acquisition Corp. III,NYSE,10.00,"15,000,000",3/24/2021,"$150,000,000",Priced,NGC'U,Northern Genesis Acquisition Corp. III,2/18/2021,"$150,000,000"
1147001-96110,,,,,,,,,TWICU,Twist Investment Corp,2/18/2021,"$201,250,000"
1147016-96112,SWAGU,"Nogin, Inc.",NASDAQ Capital,10.00,"20,000,000",7/29/2021,"$200,000,000",Priced,SWAGU,"Nogin, Inc.",2/18/2021,"$200,000,000"
1147026-96115,STREU,"Supernova Partners Acquisition Co III, Ltd.",NYSE,10.00,"25,000,000",3/23/2021,"$250,000,000",Priced,STREU,"Supernova Partners Acquisition Co III, Ltd.",2/18/2021,"$250,000,000"
1147027-96114,TRAQU,Trine II Acquisition Corp.,NYSE,10.00,"36,000,000",11/03/2021,"$360,000,000",Priced,TRAQU,Trine II Acquisition Corp.,2/18/2021,"$360,000,000"
1147118-96122,MITC,Steakholder Foods Ltd.,NASDAQ Capital,10.30,"2,427,185",3/12/2021,"$25,000,006",Priced,MITC,Steakholder Foods Ltd.,2/18/2021,"$25,000,006"
1147135-96126,FRONU,Frontier Acquisition Corp.,NASDAQ Capital,10.00,"20,000,000",3/11/2021,"$200,000,000",Priced,FRONU,Frontier Acquisition Corp.,2/18/2021,"$200,000,000"
1147159-96131,,,,,,,,,,VIDA FLaSH Acquisitions,2/18/2021,"$172,500,000"
1147166-96132,FLYAU,Soar Technology Acquisition Corp.,NYSE,10.00,"20,000,000",9/16/2021,"$200,000,000",Priced,FLYAU,Soar Technology Acquisition Corp.,2/18/2021,"$200,000,000"
1147167-96134,FRXBU,Forest Road Acquisition Corp. II,NYSE,10.00,"30,500,000",3/10/2021,"$305,000,000",Priced,FRXBU,Forest Road Acquisition Corp. II,2/18/2021,"$305,000,000"
1147179-96135,PTOCU,Pine Technology Acquisition Corp.,NASDAQ Capital,10.00,"30,000,000",3/11/2021,"$300,000,000",Priced,PTOCU,Pine Technology Acquisition Corp.,2/19/2021,"$300,000,000"
1147319-96150,FVIVU,Fortress Value Acquisition Corp. IV,NYSE,10.00,"60,000,000",3/16/2021,"$600,000,000",Priced,FVIVU,Fortress Value Acquisition Corp. IV,2/19/2021,"$600,000,000"
1147320-96152,CFFEU,"XBP Global Holdings, Inc.",NASDAQ Capital,10.00,"22,000,000",3/12/2021,"$220,000,000",Priced,CFFEU,"XBP Global Holdings, Inc.",2/19/2021,"$220,000,000"
